Outer NW Path 7  (862,256)  (754,324)  (761,195)  | overflowToLeft=true
Inner NE Path 10  (3205,1269)  (3159,1378)  (3268,1377)  | overflowToLeft=false
Outer NW Path 8  (1095,255)  (989,322)  (986,199)  | overflowToLeft=true
Outer NW Path 5  (267,515)  (318,628)  (200,627)  | overflowToLeft=true
Outer NW Path 6  (635,248)  (529,316)  (526,196)  | overflowToLeft=true
Outer NW Path 3  (264,1021)  (325,1127)  (214,1125)  | overflowToLeft=true
Inner NE Path 14  (2223,772)  (2344,827)  (2335,710)  (2454,706)  | overflowToLeft=false
Outer NW Path 4  (259,771)  (322,887)  (206,884)  | overflowToLeft=true
Inner NE Path 13  (2578,771)  (2683,828)  (2680,710)  | overflowToLeft=false
Outer NW Path 1  (262,1512)  (330,1622)  (214,1622)  | overflowToLeft=true
Inner NE Path 12  (2810,768)  (2942,830)  (2930,710)  | overflowToLeft=false
Outer NW Path 2  (259,1257)  (325,1368)  (207,1366)  | overflowToLeft=true
Inner NE Path 11  (3205,1016)  (3150,1127)  (3262,1125)  | overflowToLeft=false
Outer East Path North  (3712,1819)  (3649,1945)  (3766,1942)  | overflowToLeft=false
Inner North Path 2  (1938,830)  (1830,828)  (2047,830)  (1939,721)  (2055,720)  (1828,720)  | overflowToLeft=true
Inner North Path 3  (1945,1088)  (1841,1083)  (2068,1088)  (1947,965)  (2067,966)  (1828,965)  | overflowToLeft=true
Inner North Path 4  (1939,1328)  (1824,1327)  (2065,1328)  (1929,1217)  (2060,1211)  (1817,1207)  | overflowToLeft=true
Outer NW Path 9  (1382,253)  (1268,319)  (1265,200)  | overflowToLeft=true
Inner North Path 1  (1932,580)  (1820,581)  (2044,582)  (1928,461)  (2039,469)  (1807,464)  | overflowToLeft=true
Inner SW Path 9  (1309,3213)  (1426,3252)  (1424,3140)  | overflowToLeft=false
Outer Southeastern Ridge  (3722,3632)  (3777,3753)  (3657,3753)  | overflowToLeft=true
Inner NE Path 20  (2231,1257)  (2339,1324)  (2344,1205)  (2449,1264)  | overflowToLeft=false
Outer West Path North  (257,1751)  (317,1863)  (208,1862)  | overflowToLeft=true
Inner NE Path 18  (2949,1660)  (3000,1527)  (2872,1527)  | overflowToLeft=true
Inner NE Path 17  (2947,1384)  (3007,1268)  (2877,1268)  | overflowToLeft=true
Inner South Path 1  (1878,3195)  (2007,3257)  (1992,3139)  | overflowToLeft=false
Inner NE Path 16  (2674,1021)  (2572,1086)  (2573,958)  | overflowToLeft=true
Inner NE Path 15  (2447,1016)  (2341,1087)  (2337,969)  (2225,961)  (2226,1081)  | overflowToLeft=true
Inner SE Path 10  (2991,3179)  (2866,3254)  (2873,3139)  | overflowToLeft=false
Inner Northeastern Ridge 2  (3098,763)  (3153,888)  (3233,700)  (3257,807)  | overflowToLeft=false
Inner South Path 2  (2237,2714)  (2124,2757)  (2126,2650)  | overflowToLeft=true
Inner SE Path 11  (3223,2880)  (3156,2984)  (3270,2980)  | overflowToLeft=false
Inner Northeastern Ridge 3  (2958,1117)  (2844,1074)  (3003,984)  (2875,966)  | overflowToLeft=true
Inner Northeastern Ridge 1  (3453,621)  (3477,513)  (3366,488)  | overflowToLeft=true
Inner NE Path 19  (2673,1513)  (2620,1646)  (2733,1630)  | overflowToLeft=false
Inner SW Path 6  (1420,3448)  (1306,3515)  (1305,3407)  (1187,3511)  (1131,3408)  | overflowToLeft=true
Inner SE Path 14  (2965,2477)  (3005,2346)  (2882,2336)  | overflowToLeft=true
Inner SW Path 5  (941,3456)  (833,3515)  (810,3407)  | overflowToLeft=true
Inner SE Path 15  (2965,2727)  (3022,2612)  (2906,2611)  | overflowToLeft=true
Inner SE Path 1  (3460,2487)  (3405,2363)  (3507,2362)  | overflowToLeft=false
Inner SW Path 8  (1601,3209)  (1704,3260)  (1708,3149)  | overflowToLeft=false
Inner SE Path 12  (3227,2611)  (3170,2740)  (3278,2729)  | overflowToLeft=false
Inner Northeastern Ridge 4  (2586,1259)  (2644,1373)  (2717,1243)  | overflowToLeft=false
Inner SE Path 2  (3461,2763)  (3402,2642)  (3509,2630)  | overflowToLeft=false
Inner SW Path 7  (1774,3457)  (1660,3516)  (1636,3398)  | overflowToLeft=true
Inner Northeastern Ridge 5  (2433,1623)  (2346,1483)  (2459,1486)  | overflowToLeft=false
Inner SE Path 13  (3224,2339)  (3171,2471)  (3281,2463)  | overflowToLeft=false
Inner SE Path 3  (3468,2985)  (3401,2880)  (3509,2881)  | overflowToLeft=false
Inner SW Path 2  (520,2743)  (558,2621)  (452,2607)  | overflowToLeft=true
Inner SE Path 18  (2470,2705)  (2363,2765)  (2362,2651)  | overflowToLeft=true
Inner SE Path 4  (3463,3215)  (3403,3107)  (3508,3109)  | overflowToLeft=false
